Chron,405kyr,100kyr,38kyr,21kyr
SA4r,0.35102662,0.086673239,0.032935831,0.01820138
SA4n,0.633559354,0.156434409,0.059445076,0.032851226
SA3r.2r,1.31811692,0.325460968,0.123675168,0.068346804
SA3n.2n,0.61800141,0.152592941,0.057985317,0.032044517
SA3n.1r,0.17509224,0.043232651,0.016428407,0.009078857
SA3n.1n,1.41085727,0.34835982,0.132376732,0.073155562
