Chron,405kyr,100kyr,38kyr,21kyr
SA4r,0.35102662,0.086673239,0.032935831,0.01820138
SA4n,0.633559354,0.156434409,0.059445076,0.032851226
SA3r,1.53915163,0.380037439,0.144414226,0.079807862
SA3n.2n,0.3969667,0.09801647,0.037246259,0.020583459
SA3n.1r,0.17509224,0.043232651,0.016428407,0.009078857
SA3n.1n,1.41085727,0.34835982,0.132376732,0.073155562
